"CustomerID","CustomerType","CustomerName","Email","Phone","RegistrationDate","Status"
37,"Individual","Test Customer 037","customer037@test.techpoint.local","3005550037",4/23/2025 0:00:00,"Active"
38,"Individual","Test Customer 038","customer038@test.techpoint.local","3005550038",4/26/2025 0:00:00,"Active"
39,"Individual","Test Customer 039","customer039@test.techpoint.local","3005550039",4/29/2025 0:00:00,"Active"
40,"Individual","Test Customer 040","customer040@test.techpoint.local","3005550040",5/2/2025 0:00:00,"Active"
41,"Individual","Test Customer 041","customer041@test.techpoint.local","3005550041",5/5/2025 0:00:00,"Active"
42,"Individual","Test Customer 042","customer042@test.techpoint.local","3005550042",5/8/2025 0:00:00,"Active"
43,"Individual","Test Customer 043","customer043@test.techpoint.local","3005550043",5/11/2025 0:00:00,"Active"
44,"Individual","Test Customer 044","customer044@test.techpoint.local","3005550044",5/14/2025 0:00:00,"Active"
45,"Individual","Test Customer 045","customer045@test.techpoint.local","3005550045",5/17/2025 0:00:00,"Active"
46,"Individual","Test Customer 046","customer046@test.techpoint.local","3005550046",5/20/2025 0:00:00,"Active"
47,"Individual","Test Customer 047","customer047@test.techpoint.local","3005550047",5/23/2025 0:00:00,"Active"
48,"Individual","Test Customer 048","customer048@test.techpoint.local","3005550048",5/26/2025 0:00:00,"Active"
49,"Individual","Test Customer 049","customer049@test.techpoint.local","3005550049",5/29/2025 0:00:00,"Active"
50,"Individual","Test Customer 050","customer050@test.techpoint.local","3005550050",6/1/2025 0:00:00,"Active"
51,"Individual","Test Customer 051","customer051@test.techpoint.local","3005550051",6/4/2025 0:00:00,"Active"
52,"Individual","Test Customer 052","customer052@test.techpoint.local","3005550052",6/7/2025 0:00:00,"Active"
53,"Individual","Test Customer 053","customer053@test.techpoint.local","3005550053",6/10/2025 0:00:00,"Active"
54,"Individual","Test Customer 054","customer054@test.techpoint.local","3005550054",6/13/2025 0:00:00,"Active"
55,"Individual","Test Customer 055","customer055@test.techpoint.local","3005550055",6/16/2025 0:00:00,"Active"
56,"Individual","Test Customer 056","customer056@test.techpoint.local","3005550056",6/19/2025 0:00:00,"Active"
57,"Individual","Test Customer 057","customer057@test.techpoint.local","3005550057",6/22/2025 0:00:00,"Active"
58,"Individual","Test Customer 058","customer058@test.techpoint.local","3005550058",6/25/2025 0:00:00,"Active"
59,"Individual","Test Customer 059","customer059@test.techpoint.local","3005550059",6/28/2025 0:00:00,"Active"
60,"Individual","Test Customer 060","customer060@test.techpoint.local","3005550060",7/1/2025 0:00:00,"Active"
61,"Individual","Test Customer 061","customer061@test.techpoint.local","3005550061",7/4/2025 0:00:00,"Active"
62,"Individual","Test Customer 062","customer062@test.techpoint.local","3005550062",7/7/2025 0:00:00,"Active"
63,"Individual","Test Customer 063","customer063@test.techpoint.local","3005550063",7/10/2025 0:00:00,"Active"
64,"Individual","Test Customer 064","customer064@test.techpoint.local","3005550064",7/13/2025 0:00:00,"Active"
65,"Individual","Test Customer 065","customer065@test.techpoint.local","3005550065",7/16/2025 0:00:00,"Active"
66,"Individual","Test Customer 066","customer066@test.techpoint.local","3005550066",7/19/2025 0:00:00,"Active"
67,"Individual","Test Customer 067","customer067@test.techpoint.local","3005550067",7/22/2025 0:00:00,"Active"
68,"Individual","Test Customer 068","customer068@test.techpoint.local","3005550068",7/25/2025 0:00:00,"Active"
69,"Individual","Test Customer 069","customer069@test.techpoint.local","3005550069",7/28/2025 0:00:00,"Active"
70,"Individual","Test Customer 070","customer070@test.techpoint.local","3005550070",7/31/2025 0:00:00,"Active"
71,"Individual","Test Customer 071","customer071@test.techpoint.local","3005550071",8/3/2025 0:00:00,"Active"
72,"Individual","Test Customer 072","customer072@test.techpoint.local","3005550072",8/6/2025 0:00:00,"Active"
73,"Individual","Test Customer 073","customer073@test.techpoint.local","3005550073",8/9/2025 0:00:00,"Active"
74,"Individual","Test Customer 074","customer074@test.techpoint.local","3005550074",8/12/2025 0:00:00,"Active"
75,"Individual","Test Customer 075","customer075@test.techpoint.local","3005550075",8/15/2025 0:00:00,"Active"
76,"Individual","Test Customer 076","customer076@test.techpoint.local","3005550076",8/18/2025 0:00:00,"Active"
77,"Individual","Test Customer 077","customer077@test.techpoint.local","3005550077",8/21/2025 0:00:00,"Active"
78,"Individual","Test Customer 078","customer078@test.techpoint.local","3005550078",8/24/2025 0:00:00,"Active"
79,"Individual","Test Customer 079","customer079@test.techpoint.local","3005550079",8/27/2025 0:00:00,"Active"
80,"Individual","Test Customer 080","customer080@test.techpoint.local","3005550080",8/30/2025 0:00:00,"Active"
81,"Business","Test Business 001","business001@test.techpoint.local","6015550081",9/2/2025 0:00:00,"Active"
82,"Business","Test Business 002","business002@test.techpoint.local","6015550082",9/5/2025 0:00:00,"Active"
83,"Business","Test Business 003","business003@test.techpoint.local","6015550083",9/8/2025 0:00:00,"Active"
84,"Business","Test Business 004","business004@test.techpoint.local","6015550084",9/11/2025 0:00:00,"Active"
85,"Business","Test Business 005","business005@test.techpoint.local","6015550085",9/14/2025 0:00:00,"Active"
86,"Business","Test Business 006","business006@test.techpoint.local","6015550086",9/17/2025 0:00:00,"Active"
87,"Business","Test Business 007","business007@test.techpoint.local","6015550087",9/20/2025 0:00:00,"Active"
88,"Business","Test Business 008","business008@test.techpoint.local","6015550088",9/23/2025 0:00:00,"Active"
89,"Business","Test Business 009","business009@test.techpoint.local","6015550089",9/26/2025 0:00:00,"Active"
90,"Business","Test Business 010","business010@test.techpoint.local","6015550090",9/29/2025 0:00:00,"Active"
91,"Business","Test Business 011","business011@test.techpoint.local","6015550091",10/2/2025 0:00:00,"Active"
92,"Business","Test Business 012","business012@test.techpoint.local","6015550092",10/5/2025 0:00:00,"Active"
93,"Business","Test Business 013","business013@test.techpoint.local","6015550093",10/8/2025 0:00:00,"Active"
94,"Business","Test Business 014","business014@test.techpoint.local","6015550094",10/11/2025 0:00:00,"Active"
95,"Business","Test Business 015","business015@test.techpoint.local","6015550095",10/14/2025 0:00:00,"Active"
96,"Business","Test Business 016","business016@test.techpoint.local","6015550096",10/17/2025 0:00:00,"Active"
97,"Business","Test Business 017","business017@test.techpoint.local","6015550097",10/20/2025 0:00:00,"Active"
98,"Business","Test Business 018","business018@test.techpoint.local","6015550098",10/23/2025 0:00:00,"Active"
99,"Business","Test Business 019","business019@test.techpoint.local","6015550099",10/26/2025 0:00:00,"Active"
100,"Business","Test Business 020","business020@test.techpoint.local","6015550100",10/29/2025 0:00:00,"Active"
